serial,item_name,pieces,net_weight,amount,majuri,total_amount,final_amount,metal,avg_weight_per_pc,sales_weight,item_category
1,ZUBE SINGLE COIM,5,15.39,146850,0,146850,146850,Gold,3.0780000000000003,0.004257809448805473,Coins
2,ZUBE COIM SET,15,64.93,612970,0,612970,612970,Gold,4.328666666666667,0.01777262143571189,Coins
3,ZUBE ANTIQUE,2,11.88,118035,0,118035,118035,Gold,5.94,0.003422339382293184,Coins
4,ZS,7,10.34,99300,0,99300,99300,Gold,1.477142857142857,0.002879131619110545,Coins
5,ZHALARI,0,1.69,13800,0,13800,13800,Gold,1.69,0.000400121010510831,Other
6,TOPS VARING,19,65.78,645385,0,645385,645385,Gold,3.462105263157895,0.018712470896270483,Earrings
7,TOPS KARWARI,13,22.92,232560,0,232560,232560,Gold,1.7630769230769232,0.006742908855391222,Earrings
8,TOPS FANCY,45,98.43,973080,0,973080,973080,Gold,2.1873333333333336,0.028213750210715902,Earrings
9,TOPS BUTTON,12,13.36,138370,0,138370,138370,Gold,1.1133333333333333,0.00401193798727418,Earrings
10,TOPS AD,23,40.662,402915,0,402915,402915,Gold,1.7679130434782608,0.011682228764490687,Earrings
11,THUSHI K,1,7.5,64750,0,64750,64750,Gold,7.5,0.0018773793790272688,Other
12,PLATE,2,1.86,18370,0,18370,18370,Gold,0.93,0.0005326248523973888,Other
13,PENDANT,9,26.98,271900,0,271900,271900,Gold,2.997777777777778,0.00788354367810833,Pendants
14,PATLI,4,88.08,770380,0,770380,770380,Gold,22.02,0.022336610440386522,Bangles
15,PANADI,3,3.22,33524,0,33524,33524,Gold,1.0733333333333335,0.0009720041127800796,Other
16,NECKLACE,7,96.32,966790,0,966790,966790,Gold,13.76,0.02803137621389611,Necklaces
17,NATHANI AD,1,2.47,21200,0,21200,21200,Gold,2.47,0.0006146786538282331,Nose Items
18,NATHANI,3,0.71,8400,0,8400,8400,Gold,0.23666666666666666,0.0002435519194413754,Nose Items
19,NATH,5,3.24,35000,0,35000,35000,Gold,0.648,0.0010147996643390643,Nose Items
20,MUGAVAT,19,7.89,38900,0,38900,38900,Gold,0.41526315789473683,0.00112787734122256,Other
21,MUDDI V+AD,9,9.21,85600,0,85600,85600,Gold,1.0233333333333334,0.0024819100362121114,Rings
22,MUDDI TAR,5,2.11,27850,0,27850,27850,Gold,0.422,0.0008074905900526553,Rings
23,MUDDI B,37,23.32,240425,0,240425,240425,Gold,0.6302702702702703,0.006970948837106272,Rings
24,MANI V 80MG,0,4.13,43500,0,43500,43500,Gold,4.13,0.0012612510113928369,Other
25,MANI V 50MG,0,5.89,50900,0,50900,50900,Gold,5.89,0.001475808654710239,Other
26,MANI V 300MG,0,2.45,23200,0,23200,23200,Gold,2.45,0.0006726672060761797,Other
27,MANI V 250MG,4,2.0,22658,0,22658,22658,Gold,0.5,0.0006569523084169862,Other
28,MANI V 100MG,12,3.42,35012,0,35012,35012,Gold,0.285,0.001015147595652552,Other
29,MANI PLAIN ( JONDALA),0,0.7,5900,0,5900,5900,Gold,0.7,0.00017106622913144225,Other
30,MANI NAKSHI 130MG,0,7.71,66000,0,66000,66000,Gold,7.71,0.0019136222241822353,Other
31,MANI NAKSHI 120MG,0,0.75,7200,0,7200,7200,Gold,0.75,0.0002087587880926075,Other
32,MANI LAKHI 60MG,2,3.27,31460,0,31460,31460,Gold,1.635,0.0009121599268601988,Other
33,MANI LAKHI 110MG,0,1.5,2040,0,2040,2040,Gold,1.5,5.914832329290546e-05,Other
34,MANI K 50MG,112,14.75,155600,0,155600,155600,Gold,0.13169642857142858,0.00451150936489024,Other
35,MANI K 400MG,4,1.63,21150,0,21150,21150,Gold,0.4075,0.0006132289400220344,Other
36,MANI K 300MG,0,3.41,33410,0,33410,33410,Gold,3.41,0.0009686987653019466,Other
37,MANI K 250MG,6,3.66,34740,0,34740,34740,Gold,0.61,0.001007261152546831,Other
38,MANI K 200MG,4,14.51,151588,0,151588,151588,Gold,3.6275,0.004395184329080859,Other
39,MANI K 150MG,0,10.37,63927,0,63927,63927,Gold,10.37,0.0018535170897772386,Other
40,MANI K 100MG,62,38.23,362150,0,362150,362150,Gold,0.6166129032258064,0.010500277098296916,Other
41,MANI JAVA MIX,0,0.5,5800,0,5800,5800,Gold,0.5,0.00016816680151904493,Other
42,MANI DHANA,60,14.62,142290,0,142290,142290,Gold,0.24366666666666664,0.004125595549680156,Other
43,MANI BOARMAL SET,0,5.0,42500,0,42500,42500,Gold,5.0,0.0012322567352688637,Other
44,MANI ASTAPAILU 20MG,20,9.05,86750,0,86750,86750,Gold,0.4525,0.0025152534537546804,Other
45,MANI ASTAPAILU 16MG,120,17.87,178410,0,178410,178410,Gold,0.14891666666666667,0.00517286880327807,Other
46,MANI 100MG,2,5.58,59375,0,59375,59375,Gold,2.79,0.0017215351448609125,Other
47,MANGALSUTRA TAR,1,5.19,33820,0,33820,33820,Gold,5.19,0.0009805864185127757,Mangalsutra
48,MANGALSUTRA SET RAJKOT,1,36.99,336437,0,336437,336437,Gold,36.99,0.009754747276321193,Mangalsutra
49,MANGALSUTRA LOOSE,4,54.34,588543,0,588543,588543,Gold,13.585,0.017064378252831594,Mangalsutra
50,MANGALSUTRA +MANI SET,8,65.39,578530,0,578530,578530,Gold,8.17375,0.01677405856600225,Mangalsutra
51,M TAR,0,0.71,9125,0,9125,9125,Gold,0.71,0.000264572769631256,Other
52,LOCKET GL,19,14.67,144580,0,144580,144580,Gold,0.7721052631578947,0.004191992442004054,Pendants
53,KOI,20,8.9,82580,0,82580,82580,Gold,0.445,0.002394347322317712,Other
54,KANVEL,14,39.97,404450,0,404450,404450,Gold,2.855,0.011726734978340985,Other
55,KADA GL,1,30.31,274310,0,274310,274310,Gold,30.31,0.007953419883567105,Other
56,KADA BARSE,1,7.56,74650,0,74650,74650,Gold,7.56,0.002164422712654604,Other
57,HAAR SHRIMANT,2,55.39,530882,0,530882,530882,Gold,27.695,0.015392539297247173,Necklaces
58,HAAR RANI,2,44.35,446000,0,446000,446000,Gold,22.175,0.012931447151292075,Necklaces
59,HAAR LONG,2,49.22,415560,0,415560,415560,Gold,24.61,0.012048861386078328,Necklaces
60,HAAR LAXMI,2,35.0,341590,0,341590,341590,Gold,17.5,0.009904154781188026,Necklaces
61,GL MIX ITEM,0,5.0,50250,0,50250,50250,Gold,5.0,0.0014569623752296564,Other
62,GANTHAN SHORT,19,221.14,2172094,0,2172094,2172094,Gold,11.638947368421052,0.06297829320322558,Necklaces
63,GANTHAN LONG,28,890.03,8523577,0,8523577,8523577,Gold,31.786785714285713,0.24713494510194764,Necklaces
64,FANCY KANGAN,12,191.02,1754650,0,1754650,1754650,Gold,15.918333333333335,0.05087480660092968,Bangles
65,F RING L-AD,16,47.33,475635,0,475635,475635,Gold,2.958125,0.013790692524226022,Rings
66,F RING L,28,65.97,681818,0,681818,681818,Gold,2.3560714285714286,0.019768819358295203,Rings
67,F RING J-AD,9,51.188,550630,0,550630,550630,Gold,5.687555555555556,0.015965118262143398,Rings
68,F RING J,32,111.61,1198845,0,1198845,1198845,Gold,3.4878125,0.034759642959844725,Rings
69,E RING ZALI,2,5.9,59630,0,59630,59630,Gold,2.95,0.0017289286852725256,Rings
70,E RING U&V RAJKOT,19,55.63,566450,0,566450,566450,Gold,2.9278947368421053,0.016423807710424655,Rings
71,E RING RAJKOT TAR BALI,59,74.715,762322,0,762322,762322,Gold,1.26635593220339,0.022102974563379545,Rings
72,E RING PIPE,18,38.99,386610,0,386610,386610,Gold,2.1661111111111113,0.011209477092289304,Rings
73,CHAIN SHORT,27,131.48,1346693,0,1346693,1346693,Gold,4.869629629629629,0.03904638869622192,Chains
